Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,11.210000,11.390000,11.200000,11.260000,11.260000,9424600
2019-08-02,11.190000,11.210000,11.050000,11.080000,11.080000,10132700
2019-08-05,10.990000,11.030000,10.840000,10.900000,10.900000,7132500
2019-08-06,11.010000,11.040000,10.910000,11.000000,11.000000,15365300
2019-08-07,10.950000,11.160000,10.880000,11.160000,11.160000,14179700
2019-08-08,11.250000,11.350000,11.200000,11.250000,11.250000,11876300
2019-08-09,11.250000,11.260000,11.080000,11.130000,11.130000,6107900
2019-08-12,11.060000,11.130000,11.040000,11.100000,11.100000,4599900
2019-08-13,10.850000,11.100000,10.780000,11.060000,11.060000,12558600
2019-08-14,10.960000,10.970000,10.790000,10.790000,10.790000,8238800
2019-08-15,10.870000,11.050000,10.770000,10.930000,10.930000,14914000
2019-08-16,10.920000,11.090000,10.910000,11.070000,11.070000,9420600
2019-08-19,11.060000,11.180000,11.060000,11.130000,11.130000,11201500
2019-08-20,11.240000,11.390000,11.190000,11.330000,11.330000,13538500
2019-08-21,11.400000,11.450000,11.280000,11.300000,11.300000,7062900
2019-08-22,11.280000,11.330000,11.190000,11.210000,11.210000,6352600
2019-08-23,11.260000,11.320000,11.100000,11.110000,11.110000,8412800
2019-08-26,11.210000,11.230000,11.100000,11.130000,11.130000,6104400
2019-08-27,11.100000,11.160000,11.080000,11.150000,11.150000,6968800
2019-08-28,11.190000,11.260000,11.130000,11.200000,11.200000,5520600
2019-08-29,11.280000,11.480000,11.280000,11.390000,11.390000,10932700
2019-08-30,11.480000,11.500000,11.370000,11.490000,11.490000,7067000
