Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,193.330002,197.220001,193.229996,194.160004,194.160004,1837100
2019-08-02,194.470001,194.470001,190.500000,193.009995,193.009995,1833100
2019-08-05,189.580002,191.000000,184.229996,185.550003,185.550003,2422000
2019-08-06,186.669998,189.559998,186.509995,188.809998,188.809998,2055600
2019-08-07,187.210007,189.360001,184.399994,188.869995,188.869995,2495100
2019-08-08,190.000000,194.279999,189.380005,194.179993,194.179993,1804100
2019-08-09,193.610001,193.679993,190.210007,191.479996,191.479996,1831800
2019-08-12,191.479996,191.889999,189.320007,190.000000,190.000000,1597200
2019-08-13,188.759995,193.020004,188.759995,192.880005,192.880005,2072000
2019-08-14,190.399994,191.389999,186.809998,186.970001,186.970001,2316500
2019-08-15,187.350006,190.229996,186.699997,189.559998,189.559998,1932600
2019-08-16,191.119995,193.660004,190.470001,193.220001,193.220001,2526900
2019-08-19,195.000000,196.289993,194.520004,195.179993,195.179993,1891000
2019-08-20,195.110001,195.979996,193.119995,194.199997,194.199997,1423500
2019-08-21,195.690002,196.839996,195.070007,195.729996,195.729996,1044700
2019-08-22,196.460007,196.970001,194.270004,196.339996,196.339996,1160900
2019-08-23,195.000000,197.929993,191.570007,192.809998,192.809998,2290400
2019-08-26,194.339996,195.470001,193.470001,195.470001,195.470001,1641500
2019-08-27,196.020004,197.399994,195.240005,197.160004,197.160004,1632700
2019-08-28,196.889999,197.529999,194.570007,196.839996,196.839996,1326200
2019-08-29,198.000000,199.910004,197.440002,198.740005,198.740005,1494200
2019-08-30,200.000000,200.679993,196.770004,198.169998,198.169998,2176600
